id,state_name,constituency_name,state_name_dm,constituency_name_dm
424,Uttar Pradesh-S24,Maharajganj,uttar pradesh,maharajganj
425,Uttar Pradesh-S24,Gorakhpur,uttar pradesh,gorakhpur
426,Uttar Pradesh-S24,Kushi Nagar,uttar pradesh,kushi nagar
427,Uttar Pradesh-S24,Deoria,uttar pradesh,deoria
428,Uttar Pradesh-S24,Bansgaon,uttar pradesh,bansgaon
429,Uttar Pradesh-S24,Lalganj,uttar pradesh,lalganj
430,Uttar Pradesh-S24,Azamgarh,uttar pradesh,azamgarh
431,Uttar Pradesh-S24,Ghosi,uttar pradesh,ghosi
432,Uttar Pradesh-S24,Salempur,uttar pradesh,salempur
433,Uttar Pradesh-S24,Ballia,uttar pradesh,ballia
434,Uttar Pradesh-S24,Jaunpur,uttar pradesh,jaunpur
435,Uttar Pradesh-S24,Machhlishahr,uttar pradesh,machhlishahr
436,Uttar Pradesh-S24,Ghazipur,uttar pradesh,ghazipur
437,Uttar Pradesh-S24,Chandauli,uttar pradesh,chandauli
438,Uttar Pradesh-S24,Varanasi,uttar pradesh,varanasi
439,Uttar Pradesh-S24,Bhadohi,uttar pradesh,bhadohi
440,Uttar Pradesh-S24,Mirzapur,uttar pradesh,mirzapur
441,Uttar Pradesh-S24,Robertsganj,uttar pradesh,robertsganj
442,West Bengal-S25,Cooch behar,west bengal,cooch behar
443,West Bengal-S25,Alipurduars,west bengal,alipurduars
444,West Bengal-S25,Jalpaiguri,west bengal,jalpaiguri
445,West Bengal-S25,Darjeeling,west bengal,darjeeling
446,West Bengal-S25,Raiganj,west bengal,raiganj
447,West Bengal-S25,Balurghat,west bengal,balurghat
448,West Bengal-S25,Maldaha Uttar,west bengal,maldaha uttar
449,West Bengal-S25,Maldaha Dakshin,west bengal,maldaha dakshin
450,West Bengal-S25,Jangipur,west bengal,jangipur
451,West Bengal-S25,Baharampur,west bengal,baharampur
